MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CRS_ARR_TIME,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP
4,1,2,AS,PHX,AZ,PAE,WA,2050,-8.00,0.00,0.00,-1,2359,0.00,189.00,1133.00,5
4,1,2,AS,PHX,AZ,SEA,WA,0515,-1.00,0.00,0.00,-1,0825,0.00,190.00,1107.00,5
4,1,2,AS,PHX,AZ,SEA,WA,0600,1.00,1.00,0.00,0,0906,0.00,186.00,1107.00,5
4,1,2,AS,PHX,AZ,SEA,WA,0700,-9.00,0.00,0.00,-1,1010,0.00,190.00,1107.00,5
4,1,2,AS,PHX,AZ,SEA,WA,0941,-9.00,0.00,0.00,-1,1250,0.00,189.00,1107.00,5
4,1,2,AS,PHX,AZ,SEA,WA,1149,-2.00,0.00,0.00,-1,1455,0.00,186.00,1107.00,5
4,1,2,AS,PHX,AZ,SEA,WA,1359,4.00,4.00,0.00,0,1708,0.00,189.00,1107.00,5
4,1,2,AS,PHX,AZ,SEA,WA,1508,35.00,35.00,1.00,2,1821,0.00,193.00,1107.00,5
4,1,2,AS,PHX,AZ,SEA,WA,1706,2.00,2.00,0.00,0,2015,0.00,189.00,1107.00,5
4,1,2,AS,PHX,AZ,SEA,WA,1849,-16.00,0.00,0.00,-2,2200,0.00,191.00,1107.00,5
4,1,2,AS,PIT,PA,SEA,WA,1936,-4.00,0.00,0.00,-1,2158,0.00,322.00,2125.00,9
4,1,2,AS,PSC,WA,SEA,WA,0838,-12.00,0.00,0.00,-1,0945,0.00,67.00,172.00,1
4,1,2,AS,PSP,CA,SEA,WA,0900,30.00,30.00,1.00,2,1153,0.00,173.00,987.00,4
4,1,2,AS,PSP,CA,SEA,WA,1101,1.00,1.00,0.00,0,1354,0.00,173.00,987.00,4
4,1,2,AS,PSP,CA,SEA,WA,1348,-17.00,0.00,0.00,-2,1642,0.00,174.00,987.00,4
4,1,2,AS,PSP,CA,SEA,WA,1540,1.00,1.00,0.00,0,1834,0.00,174.00,987.00,4
4,1,2,AS,PSP,CA,SEA,WA,1910,31.00,31.00,1.00,2,2156,0.00,166.00,987.00,4
4,1,2,AS,RDM,OR,SEA,WA,0845,-12.00,0.00,0.00,-1,0955,0.00,70.00,228.00,1
4,1,2,AS,RDU,NC,SEA,WA,1750,1.00,1.00,0.00,0,2054,0.00,364.00,2354.00,10
4,1,2,AS,RNO,NV,SEA,WA,1412,-13.00,0.00,0.00,-1,1611,0.00,119.00,564.00,3
4,1,2,AS,SAN,CA,GEG,WA,2031,-4.00,0.00,0.00,-1,2327,0.00,176.00,1027.00,5
4,1,2,AS,SAN,CA,SEA,WA,0700,-7.00,0.00,0.00,-1,1012,0.00,192.00,1050.00,5
4,1,2,AS,SAN,CA,SEA,WA,0930,4.00,4.00,0.00,0,1240,0.00,190.00,1050.00,5
4,1,2,AS,SAN,CA,SEA,WA,1135,-7.00,0.00,0.00,-1,1445,0.00,190.00,1050.00,5
