MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,ORIGIN,ORIGIN_STATE_ABR,DEST,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,TAXI_OUT,CANCELLED,CRS_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
4,1,2,4/1/2025 0:00,AS,JFK,NY,SEA,WA,1600,-1,0,0,-1,31,0,385,2422,10,,,,,
4,1,2,4/1/2025 0:00,AS,JFK,NY,SEA,WA,1729,20,20,1,1,33,0,385,2422,10,,,,,
4,1,2,4/1/2025 0:00,AS,JNU,AK,SEA,WA,700,-7,0,0,-1,12,0,144,909,4,,,,,
4,1,2,4/1/2025 0:00,AS,JNU,AK,SEA,WA,1410,20,20,1,1,9,0,143,909,4,,,,,
4,1,2,4/1/2025 0:00,AS,JNU,AK,SEA,WA,1840,-10,0,0,-1,10,0,140,909,4,,,,,
4,1,2,4/1/2025 0:00,AS,KOA,HI,SEA,WA,800,-1,0,0,-1,14,0,354,2688,11,,,,,
4,1,2,4/1/2025 0:00,AS,KOA,HI,SEA,WA,1308,-5,0,0,-1,20,0,352,2688,11,,,,,
4,1,2,4/1/2025 0:00,AS,KOA,HI,SEA,WA,2200,-7,0,0,-1,20,0,352,2688,11,,,,,
4,1,2,4/1/2025 0:00,AS,KTN,AK,SEA,WA,856,-24,0,0,-2,14,0,115,680,3,,,,,
4,1,2,4/1/2025 0:00,AS,KTN,AK,SEA,WA,1308,-23,0,0,-2,10,0,111,680,3,,,,,
4,1,2,4/1/2025 0:00,AS,KTN,AK,SEA,WA,1735,-14,0,0,-1,7,0,115,680,3,,,,,
4,1,2,4/1/2025 0:00,AS,LAS,NV,PAE,WA,1710,-17,0,0,-2,12,0,171,894,4,,,,,
4,1,2,4/1/2025 0:00,AS,LAS,NV,SEA,WA,740,-13,0,0,-1,17,0,168,867,4,,,,,
4,1,2,4/1/2025 0:00,AS,LAS,NV,SEA,WA,930,-5,0,0,-1,24,0,168,867,4,,,,,
4,1,2,4/1/2025 0:00,AS,LAS,NV,SEA,WA,1037,-10,0,0,-1,20,0,168,867,4,,,,,
4,1,2,4/1/2025 0:00,AS,LAS,NV,SEA,WA,1413,23,23,1,1,14,0,166,867,4,15,0,0,0,0
4,1,2,4/1/2025 0:00,AS,LAS,NV,SEA,WA,1600,19,19,1,1,23,0,166,867,4,0,0,1,0,19
4,1,2,4/1/2025 0:00,AS,LAS,NV,SEA,WA,1750,5,5,0,0,19,0,165,867,4,,,,,
4,1,2,4/1/2025 0:00,AS,LAX,CA,GEG,WA,2021,27,27,1,1,24,0,161,945,4,0,0,2,0,27
4,1,2,4/1/2025 0:00,AS,LAX,CA,SEA,WA,800,-3,0,0,-1,14,0,180,954,4,,,,,
4,1,2,4/1/2025 0:00,AS,LAX,CA,SEA,WA,1000,-6,0,0,-1,17,0,175,954,4,,,,,
4,1,2,4/1/2025 0:00,AS,LAX,CA,SEA,WA,1200,0,0,0,0,44,0,173,954,4,0,0,23,0,0
4,1,2,4/1/2025 0:00,AS,LAX,CA,SEA,WA,1358,-5,0,0,-1,19,0,176,954,4,,,,,
4,1,2,4/1/2025 0:00,AS,LAX,CA,SEA,WA,1503,10,10,0,0,31,0,171,954,4,,,,,
4,1,2,4/1/2025 0:00,AS,LAX,CA,SEA,WA,1742,-5,0,0,-1,20,0,173,954,4,,,,,
4,1,2,4/1/2025 0:00,AS,LAX,CA,SEA,WA,2059,-2,0,0,-1,22,0,173,954,4,,,,,
4,1,2,4/1/2025 0:00,AS,LIH,HI,SEA,WA,1301,-6,0,0,-1,17,0,352,2701,11,,,,,
4,1,2,4/1/2025 0:00,AS,LIH,HI,SEA,WA,2230,-2,0,0,-1,13,0,345,2701,11,,,,,
4,1,2,4/1/2025 0:00,AS,MCI,MO,SEA,WA,700,-10,0,0,-1,22,0,239,1489,6,,,,,
4,1,2,4/1/2025 0:00,AS,MCI,MO,SEA,WA,1455,2,2,0,0,29,0,243,1489,6,,,,,
4,1,2,4/1/2025 0:00,AS,MCO,FL,SEA,WA,706,-5,0,0,-1,25,0,394,2554,11,,,,,
4,1,2,4/1/2025 0:00,AS,MCO,FL,SEA,WA,920,34,34,1,2,21,0,394,2554,11,,,,,
4,1,2,4/1/2025 0:00,AS,MCO,FL,SEA,WA,1639,-1,0,0,-1,24,0,390,2554,11,,,,,
4,1,2,4/1/2025 0:00,AS,MCO,FL,SEA,WA,1831,-10,0,0,-1,85,0,389,2554,11,0,0,42,0,0
4,1,2,4/1/2025 0:00,AS,MIA,FL,SEA,WA,1802,38,38,1,2,25,0,417,2724,11,0,0,0,0,16
